id,dataset,user,userX,userY,nComp,compX,compY,nSeats,seatX,seatY,nDoors,doorX,doorY
1,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,860;1033;725;737;771;806;825;785;840;955;689;767;915;834;706;623;671;779;897;957,75;92;104;100;74;85;58;72;76;77;73;69;78;76;65;94;90;88;91;69,1,298,73,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
2,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,478;265;1201;402;499;700;454;727;1083;999;298;1030;445;412;231;361;1238;409;535;1330,74;50;58;101;79;79;90;67;70;30;78;78;77;73;88;69;55;51;100;71,1,774,69,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
3,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1157;268;707;286;507;1091;1209;755;1175;1033;426;1018;379;1194;299;309;488;1023;505;1327,74;101;99;97;72;72;74;94;79;61;89;68;74;68;75;74;93;84;94;73,2,660;856,56;91,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
4,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1155;1029;427;1196;1139;1191;862;780;1095;867;1213;1018;1019;1230;997;1030;860;858;902;1318,71;54;91;64;80;69;59;68;74;59;75;68;75;87;52;57;98;58;89;72,2,349;726,57;91,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
5,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,719;659;1125;442;643;729;680;737;665;657;447;807;639;675;537;593;1282;654;515;622,81;56;50;101;77;74;57;74;55;75;66;75;75;77;57;59;76;41;99;70,3,279;860;1050,52;95;50,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
6,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1150;250;413;398;507;680;1206;754;400;942;296;522;378;362;278;418;234;301;513;364,81;43;66;99;78;49;94;58;69;72;53;74;74;74;67;84;72;109;90;71,3,679;843;1352,92;52;125,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
7,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1038;252;1202;283;1137;1159;1131;1039;1183;1014;304;1018;1141;1192;1163;1048;1110;274;984;1200,74;57;81;48;81;62;87;73;74;56;88;76;75;108;77;65;62;60;87;73,3,682;845;477,53;93;91,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
8,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,481;1028;1201;439;504;1064;482;762;496;1002;471;392;497;575;1002;1104;1053;641;537;478,76;63;58;46;77;81;65;101;58;88;67;86;75;72;82;68;56;97;56;61,4,325;678;847;1206,94;49;97;67,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
9,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1242;480;383;428;502;437;1237;786;1224;509;461;1073;462;478;1310;465;479;471;518;1334,71;95;93;93;75;72;54;87;70;95;78;70;91;84;70;72;96;55;51;71,4,682;839;1057;296,88;60;92;55,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
10,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,476;477;479;819;881;768;454;604;1210;875;430;715;502;852;1190;505;486;867;520;499,77;66;55;91;80;84;92;81;66;97;98;66;74;97;69;63;95;97;49;92,5,1039;1044;1066;676;299,60;84;63;51;95,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
